booking_id,product,emd_price,sold,display_position,revenue
0,BUSINESS LOUNGE,19.6829548,0,6,0.0
0,MEAL,1.2699095,0,1,0.0
0,PET,21.58632,0,5,0.0
0,SPECIAL EQUIPMENT,9.0872411,0,4,0.0
0,FAST TRACK,1.7161981,0,2,0.0
0,BAGGAGE,10.1318648,0,3,0.0
1,FAST TRACK,1.7132,0,2,0.0
1,MEAL,8.3449972,0,5,0.0
1,BAGGAGE,5.5576208,0,4,0.0
1,PET,26.38328,0,3,0.0
1,BUSINESS LOUNGE,19.7018,0,1,0.0
1,SPECIAL EQUIPMENT,23.5565,0,6,0.0
2,FAST TRACK,1.7153415,0,3,0.0
2,MEAL,2.3702122,0,2,0.0
2,BAGGAGE,5.4047177,0,1,0.0
2,PET,15.0423243,0,6,0.0
3,BAGGAGE,10.1729816,0,3,0.0
3,FAST TRACK,1.7132,0,2,0.0
3,MEAL,7.2228512,0,1,0.0
3,PET,14.4024441,0,5,0.0
4,PET,13.19164,0,1,0.0
4,MEAL,1.9007954,0,3,0.0
4,FAST TRACK,1.7132,0,6,0.0
4,BUSINESS LOUNGE,9.8658905,0,5,0.0
4,BAGGAGE,9.5922068,0,2,0.0
4,SPECIAL EQUIPMENT,19.1912664,0,4,0.0
5,SPECIAL EQUIPMENT,85.66,0,3,0.0
5,BUSINESS LOUNGE,9.8449038,0,2,0.0
5,FAST TRACK,1.7132,0,4,0.0
5,BAGGAGE,4.7764016,0,1,0.0
5,MEAL,15.7824267,0,6,0.0
5,PET,23.89914,0,5,0.0
6,MEAL,7.426722,0,5,0.0
6,BAGGAGE,10.1558496,0,4,0.0
6,PET,23.368048,0,3,0.0
6,BUSINESS LOUNGE,9.8509,0,1,0.0
6,SPECIAL EQUIPMENT,21.415,0,6,0.0
7,BUSINESS LOUNGE,9.8628924,0,5,0.0
7,MEAL,2.5518114,0,4,0.0
7,SPECIAL EQUIPMENT,19.5673138,0,2,0.0
7,FAST TRACK,1.7132,0,6,0.0
7,BAGGAGE,10.8205712,0,1,0.0
7,PET,27.6459084,0,3,0.0
8,MEAL,1.0801726,0,1,0.0
8,BUSINESS LOUNGE,9.8470453,0,6,0.0
8,PET,13.19164,0,5,0.0
8,BAGGAGE,5.7936141,0,3,0.0
9,PET,26.820146,0,3,0.0
9,BAGGAGE,10.4068334,0,4,0.0
9,FAST TRACK,1.7166264,0,2,0.0
9,MEAL,1.88452,0,5,0.0
10,FAST TRACK,3.4443886,0,6,0.0
10,MEAL,1.636106,0,4,0.0
10,BUSINESS LOUNGE,9.8277718,0,5,0.0
10,PET,28.601874,0,3,0.0
10,SPECIAL EQUIPMENT,19.7626186,0,2,0.0
10,BAGGAGE,10.1918268,1,1,10.1918268
11,PET,13.9818535,0,6,0.0
11,BAGGAGE,4.8076675,0,1,0.0
11,BUSINESS LOUNGE,9.8509,0,3,0.0
11,SPECIAL EQUIPMENT,8.9930151,0,5,0.0
11,FAST TRACK,1.7132,0,2,0.0
11,MEAL,0.81377,0,4,0.0
12,BAGGAGE,5.0984832,0,1,0.0
12,PET,13.6640549,0,2,0.0
12,FAST TRACK,1.7191962,0,6,0.0
12,MEAL,6.9744372,0,4,0.0
12,SPECIAL EQUIPMENT,21.415,0,3,0.0
12,BUSINESS LOUNGE,9.8521849,0,5,0.0
13,SPECIAL EQUIPMENT,38.5761244,0,1,0.0
13,FAST TRACK,5.1396,0,2,0.0
13,PET,22.3199979,0,5,0.0
13,BAGGAGE,22.35726,0,3,0.0
13,MEAL,14.77635,0,4,0.0
14,PET,19.1368723,0,5,0.0
14,FAST TRACK,2.9933887,0,3,0.0
14,BAGGAGE,23.3599103,0,1,0.0
15,MEAL,3.0272244,0,3,0.0
15,PET,28.9779214,0,1,0.0
15,SPECIAL EQUIPMENT,9.0872411,0,4,0.0
15,BUSINESS LOUNGE,9.8706018,0,5,0.0
15,BAGGAGE,10.7726016,0,2,0.0
15,FAST TRACK,1.7166264,0,6,0.0
16,SPECIAL EQUIPMENT,21.415,0,5,0.0
16,BAGGAGE,4.6873152,0,3,0.0
16,FAST TRACK,1.7132,0,2,0.0
16,MEAL,12.681963,0,4,0.0
16,PET,22.6999,0,6,0.0
16,BUSINESS LOUNGE,9.8509,0,1,0.0
17,BAGGAGE,5.2873635,0,1,0.0
18,MEAL,36.8338,0,5,0.0
18,PET,76.2374,0,4,0.0
18,FAST TRACK,3.4264,0,3,0.0
18,BAGGAGE,23.59933,0,1,0.0
18,SPECIAL EQUIPMENT,38.547,0,2,0.0
19,FAST TRACK,1.7132,0,1,0.0
19,PET,19.7296395,0,5,0.0
19,BAGGAGE,21.8741376,0,2,0.0
19,SPECIAL EQUIPMENT,38.547,0,4,0.0
19,MEAL,7.49525,0,3,0.0
20,MEAL,3.5309052,0,1,0.0
20,PET,13.2828679,0,4,0.0
20,FAST TRACK,1.7144849,0,5,0.0
20,BAGGAGE,5.8270215,0,2,0.0
